@RELATION STAR-B-BE

@ATTRIBUTE jh NUMERIC
@ATTRIBUTE hk NUMERIC
@ATTRIBUTE jk NUMERIC
@ATTRIBUTE grp {b,be}


@DATA
0.082999706,0.18600035,0.26900005,be
0.041999817,0.03600025,0.07800007,be
0.12599993,0.16400003,0.28999996,be
-0.09500027,0.032999992,-0.062000275,be
0.009999275,0.109000206,0.11899948,be
0.14499998,0.22700024,0.37200022,be
-0.09499979,0.021999836,-0.072999954,be
0.062000275,0.17699957,0.23899984,be
0.19099951,0.18700027,0.37799978,be
-0.1329999,9.999275E-4,-0.13199997,be
0.06899977,0.19099998,0.25999975,be
0.19500017,0.31500006,0.5100002,be
0.009000301,0.069999695,0.078999996,be
-0.019000053,0.01600027,-0.0029997826,be
0.01099968,0.0890007,0.10000038,be
0.066999435,0.022000313,0.08899975,be
0.10200024,0.21999979,0.32200003,be
0.3210001,0.26999998,0.5910001,be
-0.061999798,-0.026000023,-0.08799982,be
-0.046000004,0.023999691,-0.022000313,be
-0.0029997826,0.10500002,0.10200024,be
-0.027999878,0.10599995,0.07800007,be
0.2409997,0.18300009,0.4239998,be
0.125,0.13199997,0.25699997,be
-0.13600016,0.007999897,-0.12800026,be
-0.013000011,0.04799986,0.034999847,be
0.14700031,0.2989998,0.4460001,be
-0.07800007,0.041000366,-0.036999702,be
0.08400011,0.24300003,0.32700014,be
-0.0089998245,0.0989995,0.089999676,be
0.0050001144,0.26900005,0.27400017,be
-0.058000088,-0.0630002,-0.12100029,be
0.75699997,0.22000003,0.977,be
-0.13199997,-0.01499939,-0.14699936,be
0.001999855,0.045999527,0.047999382,be
0.0040006638,0.12699938,0.13100004,be
-0.069000244,-0.0089998245,-0.07800007,be
0.016999722,0.13600016,0.15299988,be
-0.045000076,-0.019000053,-0.06400013,be
-0.020999908,0.14300013,0.12200022,be
0.14500046,0.32200003,0.46700048,be
-0.103000164,-9.999275E-4,-0.10400009,be
-0.0020003319,0.15400028,0.15199995,be
-0.13899994,-0.012000084,-0.15100002,be
0.08699989,0.11800003,0.20499992,be
-0.11499977,0.03399992,-0.08099985,be
0.11199999,0.10299969,0.21499968,be
-0.06399965,-0.018000126,-0.08199978,be
