# col1    HIP     RA               DE               RARad          DERad          
  44213   44213   135.0927611284   -43.1739923936   2.3578134773   -0.7535283185  
  44626   44626   136.4099258395   -70.5385204478   2.3808023383   -1.2311294313  
  45063   45063   137.6751076941   -53.0458349072   2.4028839273   -0.9258244736  
  45270   45270   138.3936469546   -47.3384401858   2.4154248032   -0.826211644   
  45520   45520   139.165492965    -44.4346093617   2.4288960574   -0.7755302352  
  45541   45541   139.2317577055   -63.7751555718   2.4300525953   -1.1130864457  
  45833   45833   140.1754899372   -42.1785546113   2.44652383     -0.7361546517  
  45934   45934   140.4934418533   -51.1765062024   2.4520731378   -0.8931985329  
  46147   46147   141.1645261594   -58.6890434701   2.4637857685   -1.0243170434  
  46329   46329   141.6871399751   -28.7876822683   2.4729071003   -0.5024398396  
  46377   46377   141.8496169918   58.1428391658    2.4757428592   1.0147839799   
  46905   46905   143.3777870359   -58.3862650807   2.502414458    -1.0190325636  
  46978   46978   143.6242247551   -66.122251895    2.5067156076   -1.1540510044  
  47522   47522   145.320941513    -23.5915214009   2.5363289015   -0.411749724   
  47549   47549   145.4055086569   -68.5049991819   2.5378048766   -1.1956377898  
  48547   48547   148.5214406988   -27.9990044596   2.59218815     -0.4886748151  
  48943   48943   149.7763297849   -23.9507831615   2.6140900963   -0.4180200246  
  49234   49234   150.7558146747   -54.5584530089   2.6311853326   -0.9522246398  
  49281   49281   150.8922477516   -61.8840500534   2.633566539    -1.0800804279  
  49743   49743   152.3255944437   -50.6396023381   2.6585831581   -0.8838277927  
  49812   49812   152.5314901104   -8.4081629889    2.6621767154   -0.1467501282  
  49927   49927   152.901188876    -59.8837882884   2.6686291761   -1.0451692742  
  49934   49934   152.9436329306   -58.0605600257   2.6693699646   -1.013347938   
  50044   50044   153.2548524666   -59.9180945489   2.6748017702   -1.0457680314  
  50099   50099   153.4344955051   -70.0379217562   2.6779371327   -1.2223923359  
  50764   50764   155.4975344279   -18.0344644336   2.7139439545   -0.3147607832  
  50843   50843   155.7243694159   -59.6245549263   2.7179029719   -1.0406447985  
  51011   51011   156.3175344757   -58.8724774782   2.7282556552   -1.0275185708  
  51063   51063   156.5008215315   -57.8269426555   2.7314546178   -1.0092705457  
  51265   51265   157.07617421     -63.164573128    2.7414964164   -1.1024297717  
  51421   51421   157.5284949105   -68.5520353843   2.7493909019   -1.1964587264  
  51444   51444   157.5934101063   -57.0773879291   2.7505238858   -0.9961883478  
  51453   51453   157.6404953481   -61.3364978887   2.7513456783   -1.0705238398  
  51488   51488   157.7426574988   -61.613466403    2.7531287442   -1.0753578523  
  51491   51491   157.7494078297   -13.588467616    2.7532465597   -0.2371635002  
  51576   51576   158.0061828649   -61.6853602591   2.7577281295   -1.0766126368  
  52370   52370   160.5589334504   -64.4664536857   2.8022820322   -1.1251518739  
  52742   52742   161.7395615168   -56.7571908205   2.8228878792   -0.990599854   
  54390   54390   166.9198864037   -56.6605985816   2.9133016048   -0.9889140014  
  54572   54572   167.5097607606   -60.095136932    2.9235968545   -1.0488580039  
  54669   54669   167.8631040907   -63.2057168319   2.929763859    -1.1031478648  
  54712   54712   168.0231067948   -71.2174569514   2.932556433    -1.2429791087  
  54790   54790   168.253754181    -57.0351897708   2.9365819893   -0.995451851   
  54807   54807   168.3021253579   -26.4650960254   2.9374262256   -0.4619030625  
  55524   55524   170.582212273    -61.0734750525   2.9772212495   -1.0659332253  
  55537   55537   170.6320128708   -53.3698494216   2.9780904339   -0.9314795937  
  55801   55801   171.5058217743   -59.3528672092   2.9933412763   -1.0359029533  
  55949   55949   171.9870044217   -62.8051361855   3.0017394978   -1.0961564136  
  56191   56191   172.7788274364   -62.9469276897   3.0155594165   -1.0986311422  
  56252   56252   172.9612417285   -68.0579375692   3.0187431465   -1.1878350927  
  56379   56379   173.356281684    -70.1947885822   3.0256378944   -1.2251301785  
  56480   56480   173.6904662966   -54.2641315739   3.0314705162   -0.9470877617  
  56586   56586   174.0228854716   -61.701685769    3.0372723253   -1.0768975707  
  56592   56592   174.0390738154   -61.694883975    3.0375548652   -1.076778857   
  56748   56748   174.5212988506   -45.1389177944   3.0459712798   -0.7878227363  
  57106   57106   175.6056494955   -62.4770757927   3.0648967688   -1.0904306796  
  57143   57143   175.7822229184   -72.4455385856   3.0679785564   -1.2644131767  
  57479   57479   176.7340474512   -41.2927867665   3.0845910284   -0.7206950864  
  57569   57569   177.0001226227   -62.2069209268   3.0892349162   -1.0857155877  
  57669   57669   177.4212000608   -63.7884895831   3.0965841039   -1.1133191681  
