# col1    HIP     RA               DE               RARad          DERad           _r        _RAJ2000     _DEJ2000     RAJ2000      DEJ2000      2MASS              Jmag     e_Jmag   Hmag     e_Hmag   Kmag     e_Kmag   Qflg Rflg Bflg Cflg Xflg   Aflg   Separation             
  24672   24672   79.3986747725    33.5935000992    1.3857682965   0.586317184     2.5E-5    79.398673    33.593475    79.398673    33.593475    05173568+3335365   7.741    0.021    7.691    0.02     7.579    0.017    AAA 111 111 000 0      0      2.5142589124106524E-5  
  24724   24724   79.5424073431    37.6501420319    1.3882769031   0.6571189423    5.1E-5    79.542423    37.650093    79.542423    37.650093    05181018+3739003   7.515    0.023    7.534    0.033    7.448    0.027    AAA 111 111 000 0      0      5.0574686493576185E-5  
  25007   25007   80.3202517289    -34.345066383    1.4018528487   -0.5994344902   2.3E-5    80.320273    -34.345051   80.320273    -34.345051   05211686-3420421   6.376    0.021    6.381    0.029    6.412    0.023    AAA 111 111 000 0      0      2.3346973281531595E-5  
  25011   25011   80.3304493979    4.011977638      1.4020308316   0.0700222193    6.7E-5    80.330458    4.011911     80.330458    4.011911     05211930+0400428   6.614    0.021    6.667    0.036    6.593    0.02     AAA 111 111 000 0      0      6.718822036520409E-5   
  25114   25114   80.6467938466    37.6760206734    1.4075520838   0.6575706098    2.2E-5    80.646768    37.676014    80.646768    37.676014    05223522+3740336   6.696    0.019    6.507    0.016    6.23     0.017    AAA 111 111 000 0      0      2.1518021715716596E-5  
  25302   25302   81.1867771471    1.8464460424     1.4169765703   0.0322265629    2.1E-5    81.186774    1.846467     81.186774    1.846467     05244482+0150472   5.369    0.027    5.417    0.027    5.355    0.02     AAA 111 111 000 0      0      2.1192332424306147E-5  
  25655   25655   82.2019065606    2.164714661      1.4346939209   0.0377813982    1.1E-5    82.201915    2.164707     82.201915    2.164707     05284845+0209529   7.438    0.024    7.495    0.053    7.38     0.029    AAA 111 111 000 0      0      1.1393540971517839E-5  
  25896   25896   82.9209801444    9.2259996339     1.4472441225   0.1610240704    3.9E-5    82.920992    9.226037     82.920992    9.226037     05314103+0913337   7.078    0.023    6.999    0.026    6.759    0.018    AAA 111 111 000 0      0      3.915568455550151E-5   
  26064   26064   83.3817910539    18.5402308837    1.4552867901   0.323588073     1.3E-5    83.381781    18.540239    83.381781    18.540239    05333162+1832248   5.16     0.035    5.065    0.036    4.777    0.017    EEA 111 111 000 0      0      1.2519401774656464E-5  
  26162   26162   83.6629172938    28.051055796     1.4601933686   0.4895832823    3.3E-5    83.662938    28.051083    83.662938    28.051083    05343910+2803038   7.49     0.02     7.421    0.017    7.392    0.016    AAA 111 111 000 0      0      3.277178703343221E-5   
  26319   26319   84.0743032023    -1.6353282951    1.4673734072   -0.0285418631   4.1E-5    84.074275    -1.635358    84.074275    -1.635358    05361782-0138072   8.162    0.027    8.299    0.038    8.296    0.026    AAA 111 111 000 0      0      4.0952448456564E-5     
